,название,цена,год,модель,пробег,тип двигателя,объем двигателя,коробка передач,кузов,привод,л.с,состаяние
1447,toyota,170000,1999,prius,360000,гибрид,1.5,at,седан,передний,58,не битый
1448,nissan,620000,2008,x-trail,147000,бензин,2.0,cvt,внедорожник,полный,140,не битый
1449,bmw,1200000,2008,x6,218000,дизель,3.0,at,внедорожник,полный,286,не битый
1450,mitsubishi,880000,2012,outlander,155000,бензин,2.0,cvt,внедорожник,полный,147,не битый
1451,toyota,174000,1994,cresta,315573,бензин,2.0,at,седан,задний,135,не битый
1452,hyundai,675000,2008,santa fe,141000,бензин,2.7,at,внедорожник,полный,189,не битый
1453,land,430000,2005,rover freeer,228000,бензин,2.5,at,внедорожник,полный,177,не битый
1454,mazda,165000,2001,demio,164000,бензин,1.3,at,хетчбэк,передний,83,не битый
1455,ваз,35000,1991,2105,14571,бензин,1.6,mt,седан,задний,73,не битый
1456,land,3670000,2017,rover discovery,48000,бензин,3.0,at,внедорожник,полный,340,не битый
1457,toyota,777000,2007,rav4,163000,бензин,2.4,at,внедорожник,полный,170,не битый
1458,lada,330000,2014,priora,67000,бензин,1.6,mt,хетчбэк,передний,98,не битый
1459,toyota,340000,1999,mark ii,309000,бензин,2.0,at,седан,задний,160,не битый
1460,chevrolet,300000,2003,tracker,270000,бензин,2.0,mt,внедорожник,полный,129,не битый
1461,газ,50000,1998,3110 волга,100000,бензин,2.4,mt,седан,задний,100,не битый
1462,volkswagen,255000,1998,sharan,310000,бензин,1.8,mt,минивэн,передний,150,не битый
1463,ваз,125000,2007,2114 samara,115000,бензин,1.5,mt,хетчбэк,передний,77,не битый
1464,nissan,410000,2000,x-trail,186000,бензин,2.0,at,внедорожник,полный,150,не битый
1465,газ,70000,2001,3110 волга,95000,бензин,2.3,mt,седан,задний,131,не битый
1466,lada,700000,2019,vesta,28000,газ,1.6,mt,седан,передний,106,не битый
1467,ssangyong,520000,2012,actyon,126000,дизель,2.0,mt,внедорожник,передний,149,не битый
1468,porsche,655000,2006,cayenne s,155000,бензин,4.5,at,внедорожник,полный,340,не битый
1469,toyota,780000,2014,auris,102220,бензин,1.6,cvt,хетчбэк,передний,132,не битый
1470,honda,475000,2008,civic,180000,бензин,1.8,at,седан,передний,140,не битый
1471,toyota,160000,1995,corsa,280000,бензин,1.5,mt,седан,полный,91,не битый
1472,mazda,240000,2001,premacy,359000,бензин,1.8,at,минивэн,передний,135,не битый
1473,land,3500000,2013,rover range rover,106000,дизель,3.0,at,внедорожник,полный,248,не битый
1474,ваз,35000,1991,2109,100000,бензин,1.5,mt,хетчбэк,передний,72,не битый
1475,toyota,630000,2008,avensis,164000,бензин,1.8,at,седан,передний,129,не битый
1476,toyota,465000,2014,passo,60000,бензин,1.0,cvt,хетчбэк,передний,69,не битый
1477,lada,350000,2015,largus,165000,бензин,1.6,mt,фургон,передний,84,не битый
1478,toyota,420000,2008,corolla,138000,бензин,1.6,amt,седан,передний,124,не битый
1479,audi,160000,1999,a4,2222,бензин,1.6,mt,седан,передний,101,не битый
1480,ford,450000,2008,mondeo,190000,дизель,2.0,mt,универсал,передний,130,не битый
1481,toyota,535000,2004,camry,295000,бензин,2.4,mt,седан,передний,152,не битый
1482,toyota,350000,2001,corolla spacio,260000,бензин,1.5,at,минивэн,передний,110,не битый
1483,уаз,350000,2011,patriot,90000,бензин,2.7,mt,внедорожник,полный,128,не битый
1484,toyota,2549000,2012,land cruiser,105000,дизель,4.5,at,внедорожник,полный,235,не битый
1485,audi,649000,2007,a6 allroad quattro,285000,бензин,3.1,at,универсал,полный,255,не битый
1486,газ,20000,1960,21 волга,30000,бензин,2.4,mt,седан,задний,65,не битый
1487,bmw,5485000,2018,x6 m,9780,бензин,4.4,at,внедорожник,полный,575,не битый
1488,mitsubishi,410000,2009,lancer,206000,бензин,1.5,at,седан,передний,109,не битый
1489,lexus,980000,2007,rx,133000,бензин,3.5,at,внедорожник,полный,276,не битый
1490,lexus,885000,2000,lx,100000,бензин,4.7,at,внедорожник,полный,231,не битый
1491,toyota,730000,2011,corolla,180000,бензин,1.6,at,седан,передний,124,не битый
1492,mazda,230000,2005,atenza,250000,бензин,2.0,at,седан,передний,145,не битый
1493,toyota,535000,2003,camry,180000,бензин,2.4,at,седан,передний,152,не битый
1494,opel,750000,2013,mokka,120000,бензин,1.8,at,внедорожник,полный,140,не битый
1495,subaru,349000,2013,stella,76000,бензин,0.7,cvt,минивэн,передний,64,не битый
1496,toyota,217000,1995,caldina,247000,бензин,1.8,at,универсал,передний,125,не битый
1497,ваз,55000,1996,21099,100000,бензин,1.5,mt,седан,передний,70,не битый
1498,nissan,1350000,2014,pathfinder,117700,бензин,3.5,cvt,внедорожник,полный,249,не битый
1499,газ,70000,2000,3110 волга,150000,бензин,2.3,mt,седан,задний,131,не битый
1500,иж,150000,2007,2717,50000,бензин,1.6,mt,фургон,задний,73,не битый
1501,lada,580000,2016,xray,55000,бензин,1.6,mt,хетчбэк,передний,106,не битый
1502,nissan,370000,2001,serena,50000,бензин,2.0,at,минивэн,передний,147,не битый
1503,газ,73000,2005,31105 волга,200000,бензин,2.4,mt,седан,задний,95,не битый
1504,lexus,1100000,2009,rx,170000,бензин,3.5,at,внедорожник,полный,277,не битый
1505,газ,299000,2007,ель 3302,555555,бензин,2.5,mt,фургон,задний,140,не битый
1506,lada,295000,2013,kalina,140000,бензин,1.6,mt,универсал,передний,87,не битый
1507,lada,209000,2010,priora,101343,бензин,1.6,mt,хетчбэк,передний,98,не битый
1508,chevrolet,450000,2012,cruze,169000,бензин,1.6,at,хетчбэк,передний,109,не битый
1509,renault,427000,2012,sandero stepway,118000,бензин,1.6,mt,хетчбэк,передний,84,не битый
1510,ваз,65000,1997,2107,800000,бензин,1.5,mt,седан,задний,68,не битый
1511,honda,155000,1994,integra,303500,бензин,1.6,at,седан,передний,105,не битый
1512,volkswagen,230000,2002,passat,100000,бензин,1.8,at,седан,передний,170,не битый
1513,nissan,570000,2009,qashqai,142000,бензин,2.0,cvt,внедорожник,передний,141,не битый
1514,jeep,450000,2000,grand cherokee,300000,бензин,4.7,at,внедорожник,полный,235,не битый
1515,toyota,800000,2011,rush,23000,бензин,1.5,at,внедорожник,задний,109,не битый
1516,toyota,170000,1995,corolla ii,314567,бензин,1.3,at,хетчбэк,передний,85,не битый
1517,bmw,125000,1988,7 серия,299655,бензин,3.4,mt,седан,задний,211,не битый
1518,subaru,430000,2004,legacy,224427,бензин,2.5,at,седан,полный,165,не битый
1519,газ,180000,1999,ель 3302,35000,бензин,2.4,mt,фургон,задний,100,не битый
1520,toyota,555555,2007,avensis,160000,бензин,1.8,mt,седан,передний,129,не битый
1521,fiat,590000,2011,ducato,490000,дизель,2.3,mt,микроавтобус,передний,110,не битый
1522,audi,50000,1985,100,273671,бензин,2.0,mt,седан,передний,112,не битый
1523,toyota,835000,2015,corolla,85000,бензин,1.6,cvt,седан,передний,122,не битый
1524,toyota,765000,2009,avensis,97000,бензин,1.8,cvt,седан,передний,147,не битый
1525,газ,40000,2001,3110 волга,130000,бензин,2.4,mt,седан,задний,90,не битый
1526,ваз,43000,1995,2106,53200,бензин,1.6,mt,седан,задний,75,не битый
1527,audi,100000,1986,80,100000,бензин,1.6,mt,седан,передний,70,не битый
1528,chevrolet,265000,2007,niva,186127,бензин,1.7,mt,внедорожник,полный,80,не битый
1529,lexus,870000,2005,rx,192000,бензин,3.0,at,внедорожник,полный,204,не битый
1530,dodge,345000,2007,caliber,199500,бензин,2.0,cvt,хетчбэк,передний,156,не битый
1531,nissan,70000,1992,primera,270000,бензин,1.8,at,седан,передний,110,не битый
1532,bmw,700000,2005,x5,322000,бензин,4.4,at,внедорожник,полный,320,не битый
1533,toyota,299499,2006,aygo,176000,бензин,1.0,mt,хетчбэк,передний,67,не битый
1534,toyota,235000,2001,lite ace,100000,бензин,1.8,mt,минивэн,задний,82,не битый
1535,kia,555000,2013,rio,140000,бензин,1.6,at,седан,передний,123,не битый
1536,opel,1000000,2013,antara,50000,бензин,2.4,at,внедорожник,полный,167,не битый
1537,chevrolet,187000,2007,niva,145000,бензин,1.7,mt,внедорожник,полный,80,не битый
1538,audi,680000,2011,a4,140000,бензин,1.8,cvt,седан,передний,160,не битый
1539,уаз,180000,1998,3151,93000,бензин,2.4,mt,внедорожник,полный,76,не битый
1540,газ,290000,2011,соболь 2752,126000,бензин,2.9,mt,фургон,задний,107,не битый
1541,mitsubishi,250000,2003,dion,220000,бензин,2.0,at,минивэн,передний,135,не битый
1542,mitsubishi,750000,2012,asx,165000,бензин,1.8,cvt,внедорожник,передний,140,не битый
1543,chevrolet,430000,2010,cruze,141000,бензин,1.6,mt,седан,передний,109,не битый
1544,lada,75000,1997,4x4 (нива),156000,бензин,1.7,mt,внедорожник,полный,83,не битый
1545,nissan,95000,1998,primera,179000,бензин,1.6,mt,седан,передний,90,не битый
1546,москвич,50000,1994,2141,50000,бензин,1.7,mt,хетчбэк,передний,85,не битый
1547,honda,130000,1993,inspire,226621,бензин,2.5,at,седан,передний,190,не битый
1548,kia,710000,2017,rio,53000,бензин,1.6,at,седан,передний,123,не битый
1549,nissan,235000,2002,bluebird sylphy,300000,бензин,1.8,at,седан,передний,120,не битый
1550,ford,325000,2000,windstar,270000,бензин,3.0,at,минивэн,передний,152,не битый
1551,mazda,159000,2002,demio,250000,бензин,1.3,at,хетчбэк,передний,83,не битый
1552,ваз,91000,2003,2112,126400,бензин,1.5,mt,хетчбэк,передний,92,не битый
1553,ваз,70000,2001,2110,100000,бензин,1.5,mt,седан,передний,92,не битый
1554,fiat,165000,2006,doblo,180000,бензин,1.4,mt,фургон,передний,77,не битый
1555,toyota,300000,1997,windom,250000,бензин,2.5,at,седан,передний,200,не битый
1556,mitsubishi,740000,2011,l200,190000,дизель,2.5,mt,пикап,полный,136,не битый
1557,audi,1250000,2007,q7,210000,дизель,3.0,at,внедорожник,полный,233,не битый
1558,toyota,350000,2003,verossa,250000,бензин,2.0,at,седан,задний,160,не битый
1559,nissan,145000,1998,pulsar,262000,бензин,1.5,at,хетчбэк,передний,105,не битый
1560,hyundai,120000,1997,accent,306461,бензин,1.5,mt,седан,передний,88,не битый
1561,toyota,200000,1996,camry,422000,бензин,2.2,mt,седан,передний,136,не битый
1562,ваз,39999,2004,2105,80000,бензин,1.5,mt,седан,задний,71,не битый
1563,hyundai,700000,2009,grand starex,300000,дизель,2.5,at,минивэн,задний,174,не битый
1564,chevrolet,580000,2017,niva,140500,бензин,1.7,mt,внедорожник,полный,80,не битый
1565,toyota,90000,1990,camry,504516,бензин,2.0,at,седан,полный,121,не битый
1566,lada,170000,2005,4x4 (нива),164885,бензин,1.7,mt,внедорожник,полный,80,не битый
1567,volkswagen,430000,2010,jetta,72000,бензин,1.4,amt,седан,передний,122,не битый
1568,ford,250000,2000,taurus,290000,бензин,3.0,at,седан,передний,150,не битый
1569,иж,200000,1988,2715,15000,бензин,1.5,mt,пикап,задний,75,не битый
1570,ваз,69000,1998,2107,20000,бензин,1.7,mt,седан,задний,80,не битый
1571,toyota,850000,2010,rav4,280000,бензин,2.0,cvt,внедорожник,полный,158,не битый
1572,bmw,1010000,2008,x5,180000,дизель,3.0,at,внедорожник,полный,235,не битый
1573,lada,134000,1999,4x4 (нива),250000,бензин,1.6,mt,внедорожник,полный,80,не битый
1574,land,1200000,2005,rover defender,212000,дизель,2.5,mt,внедорожник,полный,122,не битый
1575,hyundai,629000,2015,i40,95000,бензин,2.0,at,седан,передний,150,не битый
1576,nissan,775000,2011,qashqai,150000,бензин,2.0,cvt,внедорожник,полный,141,не битый
1577,toyota,1009000,2012,camry,126000,бензин,2.5,at,седан,передний,181,не битый
1578,opel,450000,2012,astra,113000,бензин,1.8,mt,седан,передний,140,не битый
1579,ваз,105000,2008,2104,33000,бензин,1.5,mt,универсал,задний,72,не битый
1580,subaru,980000,2011,outback,185000,бензин,3.6,at,универсал,полный,249,не битый
1581,nissan,235000,2001,primera,244000,бензин,2.5,cvt,седан,передний,170,не битый
1582,hyundai,800000,2011,ix35,162000,дизель,2.0,at,внедорожник,полный,184,не битый
1583,bmw,2500000,2014,x5,98000,бензин,3.0,at,внедорожник,полный,306,не битый
1584,toyota,150000,1996,cavalier,180000,бензин,2.4,at,седан,передний,150,не битый
1585,ваз,35000,1998,2106,89000,бензин,1.5,mt,седан,задний,72,не битый
1586,lifan,400000,2014,cebrium (720),53000,бензин,1.8,mt,седан,передний,128,не битый
1587,toyota,620000,2005,rav4,180000,бензин,2.0,at,внедорожник,полный,150,не битый
1588,заз,500000,1963,965 запорожец,3000,бензин,0.9,mt,седан,задний,27,не битый
1589,toyota,140000,1995,vista,300000,дизель,2.2,at,седан,передний,91,не битый
1590,газ,340000,1967,21 волга,64000,бензин,2.4,mt,седан,задний,75,не битый
1591,nissan,650000,2012,qashqai,210000,бензин,1.6,mt,внедорожник,передний,114,не битый
1592,toyota,290000,2001,opa,280000,бензин,2.0,cvt,универсал,передний,152,не битый
1593,honda,309000,2007,fit,220000,бензин,1.3,cvt,хетчбэк,передний,86,не битый
1594,toyota,625000,2006,alphard,176000,гибрид,2.4,cvt,минивэн,полный,130,не битый
1595,bmw,850000,2007,x5,250000,бензин,3.0,at,внедорожник,полный,264,не битый
1596,lada,120000,1996,4x4 (нива),180000,бензин,1.7,mt,внедорожник,полный,80,не битый
1597,chevrolet,1080000,2012,trailblazer,160000,бензин,3.6,at,внедорожник,полный,239,не битый
1598,москвич,60000,1960,407,63889,бензин,1.4,mt,седан,задний,45,не битый
1599,ford,470000,2012,focus,73027,бензин,1.6,mt,хетчбэк,передний,125,не битый
1600,lada,510000,2016,xray,51000,бензин,1.6,mt,хетчбэк,передний,106,не битый
1601,nissan,130000,1995,cefiro,300000,бензин,2.0,at,седан,передний,155,не битый
1602,nissan,310000,2001,wingroad,225000,бензин,1.5,at,универсал,передний,105,не битый
1603,mazda,237300,2002,premacy,300000,бензин,2.0,at,минивэн,передний,131,не битый
1604,porsche,900000,2005,cayenne,160000,бензин,3.2,at,внедорожник,полный,250,не битый
1605,lada,125000,1997,4x4 (нива),120000,бензин,1.6,mt,внедорожник,полный,80,не битый
1606,toyota,450000,2001,camry,250536,бензин,3.0,at,седан,передний,186,не битый
1607,lexus,5130000,2016,lx,83000,бензин,5.7,at,внедорожник,полный,367,не битый
1608,honda,940000,2011,accord,138000,бензин,2.4,at,седан,передний,200,не битый
1609,hyundai,495000,2010,elantra,163000,бензин,1.6,at,седан,передний,122,не битый
1610,opel,420000,2010,astra,133760,бензин,1.6,at,хетчбэк,передний,115,не битый
1611,ford,410000,2004,escape,165435,бензин,2.3,at,внедорожник,полный,155,не битый
1612,honda,615000,2012,fit shuttle,123000,бензин,1.5,cvt,универсал,передний,120,не битый
1613,toyota,615000,2008,camry,280000,бензин,2.4,at,седан,передний,167,не битый
1614,nissan,180000,2000,sunny,292000,дизель,2.2,at,седан,передний,79,не битый
1615,ваз,30000,1977,2101,16000,бензин,1.3,mt,седан,задний,69,не битый
1616,toyota,850000,2015,corolla fielder,58000,бензин,1.5,cvt,универсал,передний,109,не битый
1617,lada,130000,1998,4x4 (нива),100000,бензин,1.6,mt,внедорожник,полный,73,не битый
1618,lada,280000,2011,4x4 (нива),86500,бензин,1.7,mt,внедорожник,полный,80,не битый
1619,porsche,620000,2004,cayenne,173000,бензин,3.2,at,внедорожник,полный,250,не битый
1620,geely,140000,2011,mk,112039,бензин,1.5,mt,седан,передний,94,не битый
1621,ваз,80000,2000,2111,173600,бензин,1.6,mt,универсал,передний,89,не битый
1622,nissan,130000,1997,march,200000,бензин,1.0,at,хетчбэк,передний,58,не битый
1623,toyota,310000,2003,ist,300896,бензин,1.3,at,хетчбэк,передний,88,не битый
1624,уаз,650000,2015,patriot,70000,бензин,2.7,mt,внедорожник,полный,135,не битый
1625,nissan,160000,1994,terrano,350000,бензин,3.0,at,внедорожник,полный,149,не битый
1626,ваз,90000,2009,2105,15000,бензин,1.6,mt,седан,задний,73,не битый
1627,nissan,390000,2002,x-trail,224361,бензин,2.0,at,внедорожник,полный,280,не битый
1628,hyundai,245000,2005,elantra,180000,бензин,1.6,mt,седан,передний,105,не битый
1629,toyota,2100000,2011,land cruiser,187157,бензин,4.7,at,внедорожник,полный,288,не битый
1630,уаз,97000,1995,31512,10000,бензин,2.4,mt,внедорожник,полный,90,не битый
1631,газ,620000,2008,ель 33023,200000,бензин,2.4,mt,пикап,задний,152,не битый
1632,mercedes,430000,2007,-benz a-класс,217000,бензин,1.7,cvt,хетчбэк,передний,116,не битый
1633,volkswagen,550000,2014,polo,66500,бензин,1.6,at,седан,передний,105,не битый
1634,nissan,285000,2000,serena,230000,бензин,2.0,cvt,минивэн,передний,145,не битый
1635,lexus,1040000,2012,ct,224000,гибрид,1.8,cvt,хетчбэк,передний,99,не битый
1636,citroen,650000,2013,c3 picasso,79000,бензин,1.4,mt,минивэн,передний,95,не битый
1637,hyundai,1300000,2012,ix55,156981,бензин,3.8,at,внедорожник,полный,260,не битый
1638,газ,150000,1970,69,20000,бензин,2.1,mt,внедорожник,полный,55,не битый
1639,toyota,780000,2014,corolla fielder,130000,гибрид,1.5,cvt,универсал,передний,74,не битый
1640,citroen,300000,2010,c1,80000,бензин,1.0,mt,хетчбэк,передний,68,не битый
1641,subaru,2490000,2018,outback,26200,бензин,2.5,cvt,универсал,полный,175,не битый
1642,chevrolet,420000,2013,niva,49000,бензин,1.7,mt,внедорожник,полный,80,не битый
1643,chevrolet,290000,2010,niva,114800,бензин,1.7,mt,внедорожник,полный,80,не битый
1644,lada,325000,2014,kalina,65000,бензин,1.6,mt,универсал,передний,87,не битый
1645,ваз,40000,1986,2101,38500,бензин,1.2,mt,седан,задний,59,не битый
1646,toyota,450000,1997,hiace regius,230000,дизель,3.0,at,минивэн,полный,130,не битый
1647,bmw,1400500,2010,x5,142000,бензин,3.0,at,внедорожник,полный,272,не битый
1648,subaru,1160000,2015,forester,125000,бензин,2.0,cvt,внедорожник,полный,150,не битый
1649,honda,400000,2009,civic,103130,гибрид,1.3,cvt,седан,передний,95,не битый
1650,daewoo,85000,2008,matiz,106000,бензин,0.8,mt,хетчбэк,передний,52,не битый
1651,lada,150000,2000,4x4 (нива),160000,бензин,1.6,mt,внедорожник,полный,80,не битый
1652,nissan,140000,2002,ad,369000,бензин,1.3,at,универсал,передний,90,не битый
1653,volkswagen,750000,2008,transporter,310000,дизель,2.5,mt,фургон,полный,131,не битый
1654,ваз,78000,2003,2111,163000,бензин,1.5,mt,универсал,передний,79,не битый
1655,ford,310000,2007,focus,167500,бензин,1.6,mt,хетчбэк,передний,115,не битый
1656,lifan,320000,2015,x50,20000,бензин,1.5,mt,хетчбэк,передний,103,не битый
1657,ford,480000,2016,focus,109000,бензин,1.6,mt,универсал,передний,105,не битый
1658,lincoln,800000,2005,navigator,322000,бензин,5.4,at,внедорожник,полный,304,не битый
1659,kia,189000,2005,spectra,156000,бензин,1.6,mt,седан,передний,101,не битый
1660,lada,310000,2014,4x4 (нива),55000,бензин,1.7,mt,внедорожник,полный,83,не битый
1661,hyundai,439000,2013,solaris,102000,бензин,1.4,mt,хетчбэк,передний,107,не битый
1662,jeep,799000,1987,wrangler,126000,бензин,4.2,mt,внедорожник,полный,121,не битый
1663,volkswagen,550000,2012,jetta,93500,бензин,1.6,at,седан,передний,105,не битый
1664,ваз,32000,2001,2110,180000,бензин,1.5,mt,седан,передний,73,не битый
1665,volkswagen,620000,2008,passat,278400,бензин,1.8,at,седан,передний,160,не битый
1666,kia,310000,2007,picanto,67000,бензин,1.1,at,хетчбэк,передний,64,не битый
1667,lada,384000,2016,granta,92000,бензин,1.6,at,хетчбэк,передний,98,не битый
1668,lada,135000,2004,4x4 (нива),141000,бензин,1.7,mt,внедорожник,полный,80,не битый
1669,geely,285000,2014,emgrand ec7,77800,бензин,1.8,mt,седан,передний,126,не битый
1670,toyota,568000,2009,auris,157000,бензин,1.6,mt,хетчбэк,передний,132,не битый
1671,газ,190000,1965,21 волга,125000,бензин,2.4,mt,седан,задний,75,не битый
1672,mitsubishi,770000,2007,outlander,201000,бензин,3.0,at,внедорожник,полный,220,не битый
1673,chery,230000,2010,tiggo (t11),137000,бензин,1.8,mt,внедорожник,передний,132,не битый
1674,lada,299998,2013,granta,87100,бензин,1.6,at,седан,передний,98,не битый
1675,kia,764000,2017,rio,16831,бензин,1.6,at,седан,передний,123,не битый
1676,hyundai,678000,2016,solaris,24983,бензин,1.6,at,седан,передний,123,не битый
1677,renault,926000,2019,duster,1676,бензин,1.6,mt,внедорожник,полный,114,не битый
1678,hyundai,516000,2014,solaris,87698,бензин,1.6,mt,седан,передний,123,не битый
1679,lada,668000,2019,vesta,66621,газ,1.6,mt,седан,передний,106,не битый
1680,kia,756000,2015,rio,29000,бензин,1.6,at,седан,передний,123,не битый
1681,hyundai,827000,2018,solaris,31037,бензин,1.6,at,седан,передний,123,не битый
1682,ford,261000,2007,focus,140975,бензин,1.8,mt,хетчбэк,передний,125,не битый
1683,lifan,120000,2011,smily (320),77000,бензин,1.3,mt,хетчбэк,передний,88,не битый
1684,nissan,279000,2015,almera,250000,бензин,1.6,mt,седан,передний,102,не битый
1685,hyundai,230000,2007,getz,189000,бензин,1.4,mt,хетчбэк,передний,97,не битый
1686,ваз,78000,2007,2114 samara,136000,бензин,1.6,mt,хетчбэк,передний,81,не битый
1687,hyundai,405000,2011,solaris,100000,бензин,1.4,at,седан,передний,107,не битый
1688,ford,869990,2012,galaxy,101270,бензин,2.3,at,минивэн,передний,161,не битый
1689,lada,359000,2013,kalina,69000,бензин,1.6,mt,хетчбэк,передний,106,не битый
1690,volkswagen,259000,2005,polo,147000,бензин,1.4,mt,хетчбэк,передний,75,не битый
1691,mazda,800000,2011,cx-7,109030,бензин,2.3,at,внедорожник,полный,238,не битый
1692,renault,180000,2007,megane,160000,бензин,1.6,at,седан,передний,115,не битый
1693,hyundai,395000,2007,elantra,198000,бензин,1.6,mt,седан,передний,122,не битый
1694,ford,315000,2006,mondeo,144800,бензин,2.0,mt,хетчбэк,передний,145,не битый
1695,chevrolet,300000,2006,lacetti,127180,бензин,1.6,at,хетчбэк,передний,109,не битый
1696,mazda,970000,2013,cx-5,166000,бензин,2.0,mt,внедорожник,передний,150,не битый
1697,газ,155000,2005,31105 волга,62792,бензин,2.3,mt,седан,задний,131,не битый
1698,ford,249000,2008,focus,163000,бензин,1.6,mt,седан,передний,115,не битый
1699,bmw,950000,2012,5 серия,176000,бензин,2.0,at,седан,задний,184,не битый
1700,skoda,680000,2011,yeti,68000,бензин,1.2,amt,внедорожник,передний,105,не битый
1701,chevrolet,409000,2017,niva,64000,бензин,1.7,mt,внедорожник,полный,80,не битый
1702,chevrolet,275000,2010,aveo,125000,бензин,1.2,mt,хетчбэк,передний,84,не битый
1703,lada,475000,2018,4x4 (нива),42800,бензин,1.7,mt,внедорожник,полный,83,не битый
1704,nissan,489000,2009,qashqai,169853,бензин,1.6,mt,внедорожник,передний,114,не битый
1705,honda,145000,1999,domani,265600,бензин,1.6,at,седан,передний,120,не битый
1706,газ,125000,1972,69,100000,бензин,2.1,mt,внедорожник,полный,55,не битый
1707,lada,620000,2019,granta,970,бензин,1.6,at,седан,передний,98,не битый
1708,daewoo,85000,2006,nexia,200000,бензин,1.5,mt,седан,передний,75,не битый
1709,ваз,85000,2004,21099,176000,бензин,1.5,mt,седан,передний,78,не битый
1710,daewoo,120000,2011,matiz,68000,бензин,0.8,mt,хетчбэк,передний,52,не битый
1711,skoda,440000,2011,octavia,117000,бензин,1.4,amt,универсал,передний,122,не битый
1712,mitsubishi,195000,2006,lancer,128000,бензин,1.6,at,седан,передний,98,не битый
1713,daewoo,75000,2006,matiz,131000,бензин,0.8,mt,хетчбэк,передний,52,не битый
1714,toyota,2550000,2013,land cruiser,116163,дизель,4.5,at,внедорожник,полный,235,не битый
1715,mercedes,450000,2004,-benz s-класс,290000,бензин,5.0,at,седан,полный,306,не битый
1716,mazda,119000,2001,familia,177000,бензин,1.8,at,универсал,передний,105,не битый
1717,mazda,155000,2002,demio,180000,бензин,1.3,at,хетчбэк,передний,83,не битый
1718,mazda,260000,2005,3,192000,бензин,1.6,mt,хетчбэк,передний,105,не битый
1719,hyundai,400000,2011,solaris,120000,бензин,1.4,mt,хетчбэк,передний,107,не битый
1720,nissan,260000,2005,almera,51000,бензин,1.5,mt,седан,передний,98,не битый
1721,toyota,2425000,2013,land cruiser,165000,дизель,4.5,at,внедорожник,полный,235,не битый
1722,ford,410000,2011,focus,142000,бензин,1.6,amt,седан,передний,125,не битый
1723,уаз,350000,2004,2206,7000,бензин,2.9,mt,микроавтобус,полный,84,не битый
1724,mercedes,1750000,2018,-benz b-класс,5100,бензин,1.3,amt,хетчбэк,передний,136,не битый
1725,nissan,874000,2017,terrano,98423,бензин,2.0,mt,внедорожник,полный,143,не битый
1726,уаз,375000,1998,3909,48000,бензин,2.9,mt,микроавтобус,полный,98,не битый
1727,kia,520000,2012,rio,108078,бензин,1.4,at,седан,передний,107,не битый
1728,daihatsu,115000,2004,mira,115000,бензин,1.0,mt,хетчбэк,передний,58,не битый
1729,vortex,260000,2010,tingo,60000,бензин,1.9,mt,внедорожник,передний,132,не битый
1730,lada,275000,2013,priora,75000,бензин,1.6,mt,седан,передний,98,не битый
1731,ваз,110000,2010,2114 samara,150000,бензин,1.6,mt,хетчбэк,передний,82,не битый
1732,ваз,100000,2007,2107,39730,бензин,1.6,mt,седан,задний,54,не битый
1733,ford,349900,2011,focus,121000,бензин,1.6,mt,универсал,передний,100,не битый
1734,hyundai,560000,2013,solaris,125582,бензин,1.6,at,седан,передний,123,не битый
1735,ваз,50000,2000,2110,390000,бензин,1.5,mt,седан,передний,79,не битый
1736,renault,415000,2014,logan,74000,бензин,1.6,mt,седан,передний,82,не битый
1737,уаз,370000,2012,patriot,59000,бензин,2.7,mt,внедорожник,полный,128,не битый
1738,fiat,230000,2009,albea,185800,бензин,1.4,mt,седан,передний,77,не битый
1739,hyundai,300000,2008,matrix,200000,бензин,1.6,mt,минивэн,передний,103,не битый
1740,opel,370000,2012,astra,263000,бензин,1.6,mt,седан,передний,115,не битый
1741,toyota,249000,2000,avensis,99000,бензин,2.0,mt,седан,передний,128,не битый
1742,honda,1450000,2012,pilot,148000,бензин,3.5,at,внедорожник,полный,249,не битый
1743,ford,240000,2008,focus,180292,бензин,1.8,mt,седан,передний,125,не битый
1744,citroen,635000,2011,c-crosser,95000,бензин,2.0,cvt,внедорожник,полный,147,не битый
1745,honda,215000,1999,hr-v,100000,бензин,1.6,cvt,внедорожник,полный,105,не битый
1746,opel,328000,2007,meriva,150000,бензин,1.6,mt,минивэн,передний,105,не битый
1747,chevrolet,133000,2006,spark,168261,бензин,0.8,mt,хетчбэк,передний,52,не битый
1748,lada,327000,2013,granta,97000,бензин,1.6,at,седан,передний,98,не битый
1749,mercedes,1100000,2014,-benz c-класс,90000,бензин,1.6,at,седан,задний,156,не битый
1750,газ,1000000,2018,ель next,86970,дизель,2.8,mt,фургон,задний,150,не битый
1751,ваз,185000,2013,2114 samara,39217,бензин,1.6,mt,хетчбэк,передний,82,не битый
1752,fiat,370000,2012,ducato,250000,дизель,2.3,mt,микроавтобус,передний,120,не битый
1753,газ,265000,2007,соболь 2217,185000,бензин,2.5,mt,микроавтобус,задний,140,не битый
1754,ваз,69000,2005,2110,260000,бензин,1.6,mt,седан,передний,81,не битый
1755,toyota,2430000,2013,land cruiser,190000,дизель,4.5,at,внедорожник,полный,235,не битый
1756,skoda,840000,2018,rapid,42000,бензин,1.6,at,хетчбэк,передний,110,не битый
1757,toyota,1410000,2019,corolla,3900,бензин,1.6,cvt,седан,передний,122,не битый
