,название,цена,год,модель,пробег,тип двигателя,объем двигателя,коробка передач,кузов,привод,л.с,состаяние
71,lada,190000,2013,granta,182187,бензин,1.6,mt,седан,передний,82,не битый
72,ваз,57000,2005,2107,123000,бензин,1.6,mt,седан,задний,75,не битый
73,honda,329000,2000,odyssey,210000,бензин,2.3,at,минивэн,передний,150,не битый
74,mitsubishi,650000,2000,pajero,180000,дизель,3.2,mt,внедорожник,полный,165,не битый
75,volkswagen,630000,2006,touareg,243000,дизель,2.5,at,внедорожник,полный,174,не битый
76,toyota,355000,2001,celica,190000,бензин,1.8,mt,хетчбэк,передний,143,не битый
77,lifan,600000,2015,x60,26000,бензин,1.8,mt,внедорожник,передний,128,не битый
78,bmw,85000,1985,3 серия,350000,бензин,1.8,mt,седан,задний,105,не битый
79,jaguar,850000,2008,xf,183000,бензин,3.0,at,седан,задний,238,не битый
80,subaru,277000,1999,legacy lancaster,217000,бензин,2.5,at,универсал,полный,167,не битый
81,volkswagen,550000,2010,passat cc,186000,бензин,1.8,amt,седан,передний,152,не битый
82,skoda,585000,2012,octavia,196000,бензин,1.8,at,хетчбэк,передний,152,не битый
83,audi,1200000,2011,q5,134000,дизель,2.0,amt,внедорожник,полный,170,не битый
84,mitsubishi,870000,2011,outlander,117000,бензин,2.4,cvt,внедорожник,полный,170,не битый
85,volkswagen,1050000,2007,multivan,280000,дизель,1.9,mt,минивэн,передний,102,не битый
86,nissan,185000,2002,ad,262200,бензин,1.5,at,универсал,передний,106,не битый
87,skoda,520000,2011,octavia,180000,бензин,1.8,at,хетчбэк,передний,152,не битый
88,bmw,910000,2010,3 серия,177000,дизель,2.0,at,купе,задний,184,не битый
89,toyota,424000,2007,corolla,230000,дизель,1.4,mt,универсал,передний,90,не битый
90,honda,390000,2008,civic,253000,бензин,1.8,amt,хетчбэк,передний,140,не битый
91,honda,435000,2003,hr-v,199000,бензин,1.6,cvt,внедорожник,передний,105,не битый
92,газ,100000,1999,соболь 2752,120000,бензин,2.3,mt,фургон,задний,110,не битый
93,toyota,380000,2000,rav4,260000,бензин,2.0,mt,внедорожник,полный,150,не битый
94,daewoo,95000,2008,matiz,133000,бензин,0.8,mt,хетчбэк,передний,52,не битый
95,lifan,430000,2016,solano,24000,бензин,1.5,mt,седан,передний,100,не битый
96,nissan,570000,2008,qashqai,180000,бензин,2.0,cvt,внедорожник,передний,141,не битый
97,lada,120000,2000,4x4 (нива),116500,бензин,1.7,mt,внедорожник,полный,83,не битый
98,toyota,380000,2002,caldina,154644,бензин,1.8,at,универсал,передний,115,не битый
99,ford,60000,1998,mondeo,224456,бензин,1.6,mt,седан,передний,90,не битый
100,great,500000,2010,wall cowry,100000,бензин,2.0,mt,минивэн,передний,143,не битый
101,honda,230000,2001,fit,240000,бензин,1.3,cvt,хетчбэк,передний,86,не битый
102,nissan,565000,2005,x-trail,168000,бензин,2.5,at,внедорожник,полный,165,не битый
103,nissan,560000,2006,x-trail,159000,бензин,2.0,at,внедорожник,полный,140,не битый
104,honda,239400,2000,torneo,200000,бензин,2.0,at,седан,передний,150,не битый
105,toyota,93600,1993,corsa,354109,бензин,1.3,at,седан,передний,97,не битый
106,mazda,124200,2001,demio,200000,бензин,1.3,at,хетчбэк,передний,83,не битый
107,chery,205000,2007,tiggo (t11),142000,бензин,2.4,mt,внедорожник,передний,129,не битый
108,hyundai,435000,2009,tucson,310000,дизель,2.0,at,внедорожник,передний,140,не битый
109,volkswagen,365000,2011,polo,83000,бензин,1.6,mt,седан,передний,105,не битый
110,ford,369000,2007,focus,185000,бензин,2.0,at,хетчбэк,передний,145,не битый
111,toyota,2700000,2013,land cruiser,130000,дизель,4.5,at,внедорожник,полный,235,не битый
112,toyota,450000,2001,rav4,99590,бензин,1.8,at,внедорожник,передний,125,не битый
113,ваз,40000,1996,21099,100000,бензин,1.5,mt,седан,передний,70,не битый
114,honda,250000,2003,fit,255000,бензин,1.3,cvt,хетчбэк,передний,86,не битый
115,chevrolet,430000,2011,cruze,107000,бензин,1.8,mt,седан,передний,141,не битый
116,mazda,80000,1995,626,66,бензин,2.2,at,седан,полный,115,не битый
117,honda,645000,2005,cr-v,160000,бензин,2.0,at,внедорожник,полный,150,не битый
118,lada,240000,2012,granta,155000,бензин,1.6,mt,седан,передний,98,не битый
119,peugeot,320000,2010,308,149000,бензин,1.6,mt,хетчбэк,передний,120,не битый
120,toyota,85000,1994,caldina,150000,бензин,1.5,mt,универсал,передний,94,не битый
121,ford,570000,2008,escape,165000,бензин,2.3,at,внедорожник,полный,145,не битый
122,mercedes,710000,2009,-benz glk-класс,220000,бензин,3.5,at,внедорожник,полный,272,не битый
123,toyota,200000,1996,rav4,300000,бензин,2.0,at,внедорожник,полный,129,не битый
124,toyota,800000,2009,rav4,268000,бензин,2.0,at,внедорожник,полный,152,не битый
125,honda,140000,1998,orthia,352000,бензин,2.0,at,универсал,полный,145,не битый
126,hyundai,110000,1996,accent,259000,бензин,1.5,at,хетчбэк,передний,88,не битый
127,ваз,50000,1998,2106,80000,бензин,1.6,mt,седан,задний,75,не битый
128,haima,180000,2011,3,250000,бензин,1.8,cvt,хетчбэк,передний,112,не битый
129,subaru,350000,2000,forester,245000,бензин,2.0,at,внедорожник,полный,250,не битый
130,ford,414000,2010,fiesta,84000,бензин,1.4,at,хетчбэк,передний,96,не битый
131,ваз,39500,1998,2109,260000,бензин,1.5,mt,хетчбэк,передний,72,не битый
132,ваз,85000,2002,2112,258000,бензин,1.5,mt,хетчбэк,передний,92,не битый
133,mercedes,465000,2006,-benz b-класс,220000,бензин,1.5,cvt,хетчбэк,передний,95,не битый
134,geely,1290000,2019,atlas,18000,бензин,2.4,at,внедорожник,полный,149,не битый
135,hyundai,300000,2006,getz,143000,бензин,1.4,at,хетчбэк,передний,97,не битый
136,mitsubishi,765000,2008,outlander,210000,бензин,2.4,cvt,внедорожник,полный,170,не битый
137,mitsubishi,240000,1990,pajero,390000,дизель,2.5,mt,внедорожник,полный,103,не битый
138,ваз,40000,2000,2107,10000,бензин,1.5,mt,седан,задний,72,не битый
139,nissan,100000,2001,march,230348,бензин,1.0,at,хетчбэк,передний,60,не битый
140,ваз,145000,2006,2115 samara,80000,бензин,1.5,mt,седан,передний,78,не битый
141,toyota,1800000,2012,hilux,90200,бензин,2.7,at,пикап,задний,182,не битый
142,mitsubishi,950000,2004,delica,150000,бензин,3.0,at,минивэн,полный,185,не битый
143,renault,240000,2007,logan,150000,бензин,1.6,mt,седан,передний,87,не битый
144,honda,110000,1999,civic ferio,193000,бензин,1.6,mt,седан,передний,155,не битый
145,hyundai,458000,2011,solaris,220000,бензин,1.6,at,седан,передний,123,не битый
146,infiniti,425000,2007,m35,200000,бензин,3.5,at,седан,полный,280,не битый
147,ваз,10000,1984,2106,222222,бензин,1.6,mt,седан,задний,75,не битый
148,nissan,600000,2009,qashqai,200000,бензин,1.6,mt,внедорожник,передний,114,не битый
149,toyota,120000,1993,windom,200000,бензин,3.0,at,седан,передний,200,не битый
150,honda,270000,2000,torneo,180500,бензин,1.8,at,седан,передний,140,не битый
151,ваз,55000,2001,2107,29000,бензин,1.6,mt,седан,задний,54,не битый
152,chevrolet,330000,2007,epica,133000,бензин,2.5,at,седан,передний,156,не битый
153,volkswagen,470000,2006,passat,245500,бензин,2.0,mt,седан,передний,150,не битый
154,suzuki,340000,1996,escudo,330000,дизель,2.0,at,внедорожник,полный,92,не битый
155,луаз,200000,1989,969,9000,бензин,1.2,mt,внедорожник,полный,40,не битый
156,toyota,255555,1996,carina e,200000,бензин,2.0,at,седан,передний,133,не битый
157,ваз,95000,2006,2107,70000,бензин,1.6,mt,седан,задний,74,не битый
158,renault,610000,2015,duster,87000,дизель,1.5,mt,внедорожник,полный,109,не битый
159,ford,410000,2005,maverick,250000,бензин,2.3,mt,внедорожник,полный,150,не битый
160,газ,109990,2007,31105 волга,160000,бензин,2.4,mt,седан,задний,137,не битый
161,уаз,575000,2005,hunter,2000,бензин,2.7,mt,внедорожник,полный,128,не битый
162,ваз,35000,2007,2107,150000,бензин,1.6,mt,седан,задний,74,не битый
163,lada,277000,2013,granta,96000,бензин,1.6,at,седан,передний,98,не битый
164,kia,855000,2018,rio,43000,бензин,1.6,at,седан,передний,123,не битый
165,toyota,1400000,2011,land cruiser prado,50000,бензин,2.7,at,внедорожник,полный,163,не битый
166,nissan,185000,1997,primera,260000,бензин,1.6,mt,седан,передний,90,не битый
167,bmw,1655000,2011,x5,135500,дизель,3.0,at,внедорожник,полный,245,не битый
168,газ,360000,2011,соболь 2217,157000,дизель,2.8,mt,микроавтобус,задний,120,не битый
169,suzuki,400000,2008,sx4,198022,бензин,1.6,at,седан,передний,106,не битый
170,ваз,30000,1991,2107,100000,бензин,1.5,mt,седан,задний,72,не битый
171,kia,170000,2002,spectra,124000,бензин,1.8,at,седан,передний,127,не битый
172,toyota,405000,2003,corolla,170000,бензин,1.5,at,седан,передний,109,не битый
173,bmw,350000,1995,7 серия,300000,бензин,4.0,at,седан,задний,286,не битый
174,jeep,1330000,2012,grand cherokee,190000,бензин,3.6,at,внедорожник,полный,286,не битый
175,suzuki,500000,2006,grand vitara,250000,бензин,2.0,at,внедорожник,полный,140,не битый
176,mitsubishi,365000,2007,lancer,178251,бензин,1.8,cvt,седан,передний,143,не битый
177,toyota,70000,1989,corolla,350000,бензин,1.3,mt,седан,передний,75,не битый
178,ravon,450000,2017,nexia,33000,бензин,1.5,mt,седан,передний,106,не битый
179,lexus,650000,2006,is,150000,бензин,2.5,at,седан,задний,208,не битый
180,toyota,405000,2004,prius,251416,гибрид,1.5,at,хетчбэк,передний,77,не битый
181,lada,55000,1982,4x4 (нива),200000,бензин,1.6,mt,внедорожник,полный,73,не битый
182,toyota,2490000,2014,land cruiser,82000,дизель,4.5,at,внедорожник,полный,235,не битый
183,suzuki,220000,2003,wagon r,215000,бензин,1.3,at,хетчбэк,передний,88,не битый
